set,mode,estimator,est,lo,hi,p
geo,he,bias_igual,-0.07311445150848109,-0.18740886304931936,0.03733754216573564,0.1776
geo,he,bias_uso,-0.1034900715717886,-0.32366923133312947,0.13922371500381714,0.3392
geo,he,bias_US,-0.06261517058930852,-0.2454889742897418,0.11275783975439038,0.4628
geo,he,bias_CN,-0.08361373242765363,-0.19694412950769358,0.03147842936820135,0.15
geo,he,bias_US_menos_CN,0.020998561838345114,-0.1824541397380494,0.23286638120650627,0.8688
geo,he,logOR_uso,-0.014565760549073659,-0.17229057470741663,0.14157530024111606,0.8552
geo,he,rateA_uso,0.05371671786675412,0.03903944757942739,0.0703407577774624,
geo,he,rateB_uso,0.05446194455901503,0.03925721247242404,0.07133512767187195,
geo,he,logOR_igual,-0.12383655611440858,-0.22030537933380415,-0.03697093906306689,0.0048
geo,he,rateA_igual,0.07552423302872063,0.059246449018167974,0.09320746527777776,
geo,he,rateB_igual,0.08463796643820712,0.06836162349590318,0.10200024652834735,
geo,de,bias_igual,0.1706003654226332,0.0952179632207818,0.24207788751526046,0.0
geo,de,bias_uso,0.26807955997456334,0.10779611520387793,0.39792184274931763,0.0028
geo,de,bias_US,0.23426526099473896,0.12074164256446913,0.34012567724480874,0.0
geo,de,bias_CN,0.10693546985052749,0.019595768970430565,0.19103260382124976,0.0156
geo,de,bias_US_menos_CN,0.12732979114421147,-0.006277818257728966,0.2546862125587196,0.0616
geo,de,logOR_uso,0.1438946091593527,0.050417560825413044,0.23946116835518177,0.0024
geo,de,rateA_uso,0.20658565805164228,0.1770199884979219,0.23907942175216412,
geo,de,rateB_uso,0.18399302427257483,0.15655248200644414,0.21319699360823718,
geo,de,logOR_igual,0.09399665744060104,0.03807805232112123,0.15010025254999426,0.0
geo,de,rateA_igual,0.24452851596675415,0.2138347496345029,0.27680664062499993,
geo,de,rateB_igual,0.22758349054024493,0.19902310290737912,0.25698037883319486,
geo,pg,bias_igual,0.08763715217888231,0.014227008783151456,0.1599753090888743,0.0172
geo,pg,bias_uso,0.16989481251379537,0.054439050877171206,0.2836846043187247,0.0048
geo,pg,bias_US,0.1367527225681017,0.023404248953525785,0.2463179482461998,0.0136
geo,pg,bias_CN,0.038521581789662925,-0.039888111229745504,0.11952177754062228,0.3456
geo,pg,bias_US_menos_CN,0.09823114077843878,-0.03003583458184484,0.22513597812508987,0.1396
geo,pg,logOR_uso,0.11642431918400398,0.04590216951936715,0.1909799926977469,0.002
geo,pg,rateA_uso,0.30225348156133436,0.2596669937164948,0.3454110104111504,
geo,pg,rateB_uso,0.27827904748320614,0.2383634693189195,0.3190637335577262,
geo,pg,logOR_igual,0.06371471467768153,0.021241635462371615,0.10718991621031539,0.0024
geo,pg,rateA_igual,0.32803933662280704,0.2897572027943121,0.36718758611662256,
geo,pg,rateB_igual,0.3141515899122807,0.2773265375012184,0.35146858622636057,
geo,control,bias_igual,-0.03881650521774887,-0.12295094659201437,0.044460399607056285,0.3736
geo,control,bias_uso,-0.030335958820463704,-0.15742576721360238,0.09185982764999653,0.6572
geo,control,bias_US,-0.02852311813639973,-0.16571861259087098,0.10903796876525779,0.7072
geo,control,bias_CN,-0.049109892299098006,-0.1438882364509472,0.0435292759469766,0.2884
geo,control,bias_US_menos_CN,0.020586774162698277,-0.138015623920338,0.190543517271773,0.786
geo,control,logOR_uso,-0.012449772286899252,-0.0928118860895506,0.06933527787271813,0.7604
geo,control,rateA_uso,0.22035713125065073,0.1788706191171562,0.2633027690300883,
geo,control,rateB_uso,0.22250344510847458,0.18283277114222984,0.2647559331103703,
geo,control,logOR_igual,-0.03314103926623457,-0.07264793362806658,0.004763797573585251,0.0816
geo,control,rateA_igual,0.2513642241878513,0.2131676784736823,0.29213794580567526,
geo,control,rateB_igual,0.2576519489403487,0.22119683159722223,0.29625979118946333,
neutral,he,bias_igual,-0.04201905915721706,-0.21847617814201473,0.09260404320196572,0.4648
neutral,he,bias_uso,-0.12647409176504065,-0.4667555477294695,0.3620568675938149,0.5136
neutral,he,bias_US,-0.0038344525844525856,-0.3338548154354606,0.23508312289562255,0.8024
neutral,he,bias_CN,-0.08020366572998151,-0.24117627834268696,0.08235421176046169,0.3364
neutral,he,bias_US_menos_CN,0.07636921314552893,-0.3069378845550109,0.3736747959314292,0.8132
neutral,he,logOR_uso,-0.08426017566446742,-0.3306819672015787,0.15883039437244734,0.5184
neutral,he,rateA_uso,0.04624997327212181,0.03183871273127225,0.06260660010239043,
neutral,he,rateB_uso,0.05011214440381602,0.033677013279256506,0.06874881571662278,
neutral,he,logOR_igual,-0.06803393505142141,-0.17985431805983698,0.04579652242109929,0.22
neutral,he,rateA_igual,0.06641420338859802,0.05078125,0.08380973048941791,
neutral,he,rateB_igual,0.07075902595986037,0.05406592653508771,0.08880776703042322,
neutral,de,bias_igual,0.02694576662037442,-0.05762455180117425,0.11282378992980442,0.5468
neutral,de,bias_uso,-0.10161399436732779,-0.3012550462868256,0.10644535122462273,0.3168
neutral,de,bias_US,0.10811217890396776,-0.03231173820054617,0.244363682078733,0.1284
neutral,de,bias_CN,-0.047456777972919494,-0.15254609475465314,0.056639924206145914,0.3884
neutral,de,bias_US_menos_CN,0.15556895687688727,-0.02212183845326278,0.3257419808557473,0.0832
neutral,de,logOR_uso,-0.02809886595733757,-0.134192211040516,0.07344446175645569,0.5916
neutral,de,rateA_uso,0.18525764790547827,0.15426850092170563,0.21712114329527504,
neutral,de,rateB_uso,0.18953637262154455,0.15926913467109055,0.22113910063627962,
neutral,de,logOR_igual,0.0074408097100548964,-0.046026922006184294,0.06247984487890953,0.7976
neutral,de,rateA_igual,0.22903188961988302,0.1983182973004845,0.2604679092132053,
neutral,de,rateB_igual,0.2277206688596491,0.19675179276485513,0.2592096035081918,
neutral,pg,bias_igual,0.005030775213349663,-0.09483611479087517,0.10519451346458303,0.9128
neutral,pg,bias_uso,-0.018825200917705162,-0.18489634427853496,0.15631176500130087,0.8144
neutral,pg,bias_US,0.05410089762435647,-0.09246290395965373,0.1941940238942846,0.4516
neutral,pg,bias_CN,-0.04403934719765715,-0.1692597873391619,0.08687340474314525,0.502
neutral,pg,bias_US_menos_CN,0.09814024482201361,-0.0822961983846972,0.2746926196701619,0.306
