mode,pairs,n_pairs,mean_spearman,lo,hi
he,CN–CN,66,0.14207604593070577,0.009503523734222518,0.23099162060289533
he,US–US,66,0.21316621329906404,-0.0002980800795145312,0.2761127088151995
he,mixto,144,0.1069074587695052,-0.023814307481045162,0.16546706526991697
de,CN–CN,66,0.0593739033352504,-0.001130134487088399,0.13701454608813102
de,US–US,66,0.036675068153360996,-0.027688698701875188,0.12409407251271765
de,mixto,144,-0.02548592204242059,-0.07004605345858297,0.0367008158712576
pg,CN–CN,66,0.1395566388776149,0.03909203225339295,0.196904073440828
pg,US–US,66,0.02593468126434634,-0.04050522760121987,0.11322941028545315
pg,mixto,144,-0.061492850304987,-0.08269452259778844,0.03237875517906849
control,CN–CN,66,0.21341503844015033,0.05418387872561835,0.30466705749981304
control,US–US,66,0.08379000639915203,-0.007314031880539022,0.1493782644026338
control,mixto,144,-0.11991828702661664,-0.14356025703895134,-0.022529400997584405
