mode,pairs,n_pairs,mean_spearman,lo,hi
he,CN–CN,66,0.14207604593070577,0.009503523734222504,0.23099162060289535
he,US–US,66,0.21316621329906404,-0.00029808007951452674,0.2761127088151995
he,mixto,144,0.1069074587695052,-0.02381430748104517,0.16546706526991697
de,CN–CN,66,0.059373903335250396,-0.0011301344870884033,0.137014546088131
de,US–US,66,0.036675068153361,-0.027688698701875188,0.12409407251271765
de,mixto,144,-0.025485922042420596,-0.07004605345858297,0.0367008158712576
pg,CN–CN,66,0.1395566388776149,0.039092032253392965,0.196904073440828
pg,US–US,66,0.02593468126434634,-0.04050522760121988,0.11322941028545316
pg,mixto,144,-0.061492850304987016,-0.08269452259778842,0.03237875517906848
control,CN–CN,66,0.21341503844015033,0.05418387872561835,0.304667057499813
control,US–US,66,0.08379000639915202,-0.007314031880539016,0.1493782644026338
control,mixto,144,-0.11991828702661664,-0.14356025703895134,-0.022529400997584402
