mode,country,dyad,el_pais_es,refusal_todos,refusal_modelos_US,refusal_modelos_CN
control,china,cn_ally,afectado,27.65711351076207,26.437745418848174,28.87648160267597
control,china,cn_ally,usuario,27.80300138161722,27.698016652123332,27.90798611111111
control,china,cn_neutral,afectado,25.404373000290864,25.504926556137292,25.303819444444446
control,china,cn_neutral,usuario,24.850930773705645,25.526514325189066,24.17534722222222
control,china,cn_rival,afectado,25.133616928446774,24.920011634671322,25.347222222222225
control,china,cn_rival,usuario,25.486179283013378,26.36298356602676,24.609374999999996
control,china,cn_us,afectado,25.221331442699242,25.876690663176262,24.56597222222222
control,china,cn_us,usuario,25.593436409249566,25.96985892961024,25.21701388888889
control,usa,us_ally,afectado,22.577170593368244,23.452952297847585,21.701388888888893
control,usa,us_ally,usuario,22.767483820535194,24.050592641070388,21.484375
control,usa,us_cn,afectado,25.593436409249566,25.96985892961024,25.21701388888889
control,usa,us_cn,usuario,25.221331442699242,25.876690663176262,24.56597222222222
control,usa,us_neutral,afectado,21.818985420302504,23.008925974403727,20.629044866201284
control,usa,us_neutral,usuario,22.85451661576498,23.92083878708551,21.78819444444445
control,usa,us_rival,afectado,25.155091077661428,25.440390488656195,24.869791666666664
control,usa,us_rival,usuario,24.334983093368233,24.484847658522394,24.185118528214076
de,china,cn_ally,afectado,26.508418761022924,21.766837522045854,31.25
de,china,cn_ally,usuario,28.545321637426902,25.363212719298247,31.727430555555554
de,china,cn_neutral,afectado,23.615542284758583,20.755390125072715,26.475694444444443
de,china,cn_neutral,usuario,25.050027412280702,22.322277046783622,27.77777777777778
de,china,cn_rival,afectado,24.877558479532162,21.45650584795322,28.29861111111111
de,china,cn_rival,usuario,24.544270833333336,22.482638888888893,26.60590277777778
de,china,cn_us,afectado,23.940835878417687,21.53618564572426,26.34548611111111
de,china,cn_us,usuario,23.006085478475857,20.31772651250727,25.694444444444443
de,usa,us_ally,afectado,18.191785740255963,16.45465205061082,19.928919429901104
de,usa,us_ally,usuario,19.94687136416521,18.235756617219312,21.657986111111114
de,usa,us_cn,afectado,23.006085478475857,20.31772651250727,25.694444444444443
de,usa,us_cn,usuario,23.940835878417687,21.53618564572426,26.34548611111111
de,usa,us_neutral,afectado,17.819112674520067,16.10697534904014,19.531249999999996
de,usa,us_neutral,usuario,21.097613074461897,19.973003926701573,22.222222222222218
de,usa,us_rival,afectado,21.617310209424087,19.146078752181502,24.088541666666664
de,usa,us_rival,usuario,24.206414473684212,21.937134502923975,26.475694444444446
he,china,cn_ally,afectado,10.070467022978475,9.290239601512509,10.850694444444443
he,china,cn_ally,usuario,9.5492928301338,9.246155104712042,9.852430555555557
he,china,cn_neutral,afectado,7.552083333333333,6.944444444444445,8.159722222222223
he,china,cn_neutral,usuario,8.616928446771379,8.726912449098311,8.506944444444446
he,china,cn_rival,afectado,7.248263888888889,6.901041666666666,7.595486111111112
he,china,cn_rival,usuario,8.095413394415358,8.768951788830716,7.421874999999998
he,china,cn_us,afectado,7.118055555555555,6.597222222222222,7.638888888888888
he,china,cn_us,usuario,8.246527777777777,8.159722222222223,8.333333333333332
he,usa,us_ally,afectado,5.902777777777777,5.642361111111112,6.163194444444444
he,usa,us_ally,usuario,6.100021815008726,6.424520069808028,5.7755235602094235
he,usa,us_cn,afectado,8.246527777777777,8.159722222222223,8.333333333333332
he,usa,us_cn,usuario,7.118055555555555,6.597222222222222,7.638888888888888
he,usa,us_neutral,afectado,6.402591441244911,6.3815717713787095,6.423611111111111
he,usa,us_neutral,usuario,6.663235347585806,6.902859584060502,6.423611111111112
he,usa,us_rival,afectado,9.09379090314136,8.812581806282722,9.375
he,usa,us_rival,usuario,7.422329479348459,6.858547847585806,7.986111111111111
pg,china,cn_ally,afectado,33.955135233918135,30.453673245614038,37.45659722222223
pg,china,cn_ally,usuario,36.79801717836257,33.66547880116959,39.93055555555556
pg,china,cn_neutral,afectado,31.17023887434555,28.87693608202443,33.46354166666667
pg,china,cn_neutral,usuario,33.78335160818713,31.498994883040936,36.06770833333333
pg,china,cn_rival,afectado,32.45979532163742,29.372715643274855,35.54687499999999
pg,china,cn_rival,usuario,31.8046418128655,29.755116959064328,33.85416666666667
pg,china,cn_us,afectado,32.32007162594532,30.30854602966841,34.331597222222214
pg,china,cn_us,usuario,30.871253654970758,28.192160087719298,33.550347222222214
pg,usa,us_ally,afectado,27.268366228070178,25.326663011695906,29.210069444444446
pg,usa,us_ally,usuario,28.702028508771924,27.10891812865497,30.29513888888889
pg,usa,us_cn,afectado,30.871253654970758,28.192160087719298,33.550347222222214
pg,usa,us_cn,usuario,32.32007162594532,30.30854602966841,34.331597222222214
pg,usa,us_neutral,afectado,27.658534356725145,25.933388157894736,29.383680555555554
pg,usa,us_neutral,usuario,30.56857638888889,28.97569444444444,32.16145833333333
pg,usa,us_rival,afectado,30.900366512345677,28.684413580246908,33.11631944444445
pg,usa,us_rival,usuario,32.43375365497076,30.405701754385966,34.46180555555556
