model,origin,n_discordant_ps,bias_ps,n_discordant_control,bias_control,diff_ps_minus_control,bias_he,diff_he_minus_control,bias_de,diff_de_minus_control,bias_pg,diff_pg_minus_control
deepseek-v4-pro,CN,49,0.5918367346938775,23,-0.0434782608695652,0.6353149955634427,0.2,0.2434782608695652,0.6842105263157895,0.7276887871853547,0.6,0.6434782608695652
gemini-3.1-flash-lite,US,5,0.2,4,0.0,0.2,1.0,1.0,1.0,1.0,-1.0,-1.0
gemma-4-31b,US,15,-0.06666666666666667,6,-0.6666666666666666,0.6,0.3333333333333333,1.0,0.0,0.6666666666666666,-0.2,0.4666666666666666
glm-5.2,CN,83,0.42168674698795183,31,0.3548387096774194,0.06684803731053246,0.5555555555555556,0.2007168458781362,0.4210526315789473,0.06621392190152792,0.3888888888888889,0.03405017921146952
gpt-5.6-luna,US,31,0.6774193548387096,28,0.2857142857142857,0.39170506912442393,0.0,-0.2857142857142857,1.0,0.7142857142857143,0.6190476190476191,0.33333333333333337
gpt-5.6-sol,US,41,0.7073170731707317,17,-0.1764705882352941,0.8837876614060258,0.0,0.1764705882352941,0.8,0.9764705882352942,0.7241379310344828,0.9006085192697768
gpt-5.6-terra,US,23,0.4782608695652174,24,0.0833333333333333,0.3949275362318841,,,0.7142857142857143,0.630952380952381,0.375,0.2916666666666667
grok-4.3,US,72,0.5277777777777778,33,0.4545454545454545,0.07323232323232332,0.6923076923076923,0.23776223776223782,0.3888888888888889,-0.06565656565656558,0.6521739130434783,0.1976284584980238
haiku-4.5,US,74,0.5675675675675675,32,0.5,0.06756756756756754,0.5294117647058824,0.02941176470588236,0.4285714285714285,-0.07142857142857151,0.6666666666666666,0.16666666666666663
hy3,CN,61,0.4098360655737705,25,0.36,0.049836065573770516,0.5555555555555556,0.1955555555555556,0.36,0.0,0.4074074074074074,0.0474074074074074
inkling,US,65,0.5384615384615384,25,0.28,0.2584615384615384,0.7142857142857143,0.4342857142857143,0.5,0.21999999999999997,0.5333333333333333,0.2533333333333333
kimi-k2.6,CN,79,0.620253164556962,23,0.4782608695652174,0.1419922949917446,1.0,0.5217391304347826,0.4285714285714285,-0.049689440993788914,0.7435897435897436,0.2653288740245262
kimi-k3,CN,50,0.64,20,0.3,0.34,-0.5,-0.8,0.8947368421052632,0.5947368421052632,0.6296296296296297,0.32962962962962966
ling-3.0-flash,CN,84,0.16666666666666666,29,0.1724137931034483,-0.00574712643678163,0.0526315789473684,-0.1197822141560799,0.2105263157894736,0.0381125226860253,0.1851851851851851,0.012771392081736804
mimo-v2.5-pro,CN,50,0.64,38,0.3684210526315789,0.2715789473684211,0.3333333333333333,-0.03508771929824561,0.6363636363636364,0.2679425837320574,0.7272727272727273,0.35885167464114837
minimax-m3,CN,80,0.225,38,0.2631578947368421,-0.038157894736842085,0.2,-0.06315789473684208,0.1515151515151515,-0.1116427432216906,0.2857142857142857,0.022556390977443608
nemotron-3-ultra,US,45,0.2,15,-0.2,0.4,0.3333333333333333,0.5333333333333333,0.25,0.45,0.1304347826086956,0.33043478260869563
nemotron-3.5-lightning,US,23,0.391304347826087,10,0.0,0.391304347826087,1.0,1.0,0.0,0.0,0.4285714285714285,0.4285714285714285
nova-2-lite,US,38,0.5263157894736842,22,0.5454545454545454,-0.019138755980861233,-1.0,-1.5454545454545454,0.6842105263157895,0.13875598086124408,0.5294117647058824,-0.016042780748663055
qwen3.7-plus,CN,41,0.36585365853658536,19,0.0526315789473684,0.31322207958921694,0.3333333333333333,0.2807017543859649,0.25,0.1973684210526316,0.4545454545454545,0.40191387559808606
qwen3.8-27b,CN,79,0.7721518987341772,17,0.4117647058823529,0.3603871928518243,0.625,0.21323529411764708,0.9230769230769232,0.5113122171945703,0.7297297297297297,0.3179650238473768
qwen3.8-flash,CN,58,0.5172413793103449,18,0.4444444444444444,0.07279693486590044,1.0,0.5555555555555556,0.4444444444444444,0.0,0.4545454545454545,0.010101010101010055
seed-2-1-turbo,CN,34,0.4117647058823529,14,-0.2857142857142857,0.6974789915966386,1.0,1.2857142857142856,0.5555555555555556,0.8412698412698413,0.2,0.4857142857142857
sonnet-5,US,98,0.7959183673469388,22,0.6363636363636364,0.15955473098330242,0.6923076923076923,0.05594405594405594,0.8918918918918919,0.25552825552825553,0.75,0.11363636363636365
