dyad,mode,bloc,n_discordant_total,mean_of_ratios,mor_lo,mor_hi,pooled_counts,pc_lo,pc_hi,binomial_se_if_independent,halfwidth_mean_of_ratios,halfwidth_pooled_counts
us_cn,he,US,118,-0.27935022493846023,-0.4854009842150259,-0.032845117845117976,-0.3050847457627119,-0.49590336134453783,-0.11304347826086956,0.09205746178983235,0.22627793318495398,0.19142994154183413
us_cn,he,CN,176,-0.07240862375021302,-0.24434979168435056,0.105108318185316,-0.09090909090909091,-0.25161754467393826,0.06214824426242802,0.07537783614444091,0.1747290549348333,0.15688289446818315
us_cn,de,US,238,0.19051723739223736,0.06170365077045834,0.30800844499213587,0.11764705882352941,-0.02913645487689976,0.25428135593220313,0.06482037235521644,0.12315239711083877,0.14170890540455144
us_cn,de,CN,383,0.037472782369457974,-0.07885352671045882,0.15683868642865625,0.0391644908616188,-0.0703592691719467,0.1493700247944669,0.0510976130307596,0.11784610656955755,0.1098646469832068
us_cn,pg,US,282,0.15706641766092985,0.012649966462215228,0.3059696865012128,0.1702127659574468,0.04592434950208802,0.2963026819923371,0.05954913341754137,0.1466598600194988,0.12518916624512455
us_cn,pg,CN,390,0.024273309443421626,-0.07911182074368392,0.13319793576556513,0.046153846153846156,-0.057025644389060146,0.15523831688698556,0.05063696835418333,0.10615487825462452,0.10613198063802284
us_cn,control,US,199,0.029792975786890597,-0.15411208177998795,0.20958620818241894,-0.01507537688442211,-0.16666666666666666,0.12964975845410617,0.07088812050083358,0.18184914498120344,0.14815821256038642
us_cn,control,CN,267,-0.05184623343690469,-0.18729345092975472,0.07897780441150112,-0.056179775280898875,-0.18769924812030075,0.06957433870477343,0.06119900613621046,0.13313562767062792,0.1286367934125371
allies,he,US,154,0.10746151996151994,-0.13926052462977015,0.3335214363523187,-0.09090909090909091,-0.2781158714703018,0.08750548245614032,0.08058229640253803,0.2363909804910444,0.18281067696322106
allies,he,CN,194,-0.09386768414228369,-0.24884604453567302,0.05577903577903571,-0.09278350515463918,-0.23561091828931113,0.04717191657368438,0.07179581586177382,0.15231254015735438,0.14139141743149775
allies,de,US,240,0.2661328776524855,0.09631088773647707,0.4248633801130301,0.20833333333333334,0.035013534088986636,0.35246496836949864,0.06454972243679027,0.16427624618827652,0.15872571714025602
allies,de,CN,367,0.16741798749682127,0.05173607113556207,0.28174944503703514,0.17166212534059946,0.0648561464690497,0.2736969439728353,0.052199575097188054,0.11500668695073654,0.1044203987518928
allies,pg,US,300,0.13156175859686295,-0.00691823138618738,0.26877434579927284,0.09333333333333334,-0.011103916939790513,0.20385033825216586,0.05773502691896257,0.1378462885927301,0.10747712759597819
allies,pg,CN,384,0.050465065422088534,-0.05888894042915204,0.16388017251550108,0.08854166666666667,-0.01523431367418494,0.19202974947455206,0.051031036307982884,0.11138455647232656,0.1036320315743685
allies,control,US,171,-0.12517557747736777,-0.3399905983792821,0.06507251920311384,-0.1695906432748538,-0.3333333333333333,-0.015792646172393447,0.07647191129018725,0.20253155879119797,0.15877034358046993
allies,control,CN,261,-0.02914644565102231,-0.16936667045610446,0.11360050318014744,-0.0421455938697318,-0.1779846297609074,0.08759124087591241,0.061898446059017294,0.14148358681812595,0.1327879353184099
neutrals,he,US,120,-0.003834452584452592,-0.3336637047163363,0.237502405002405,-0.08333333333333333,-0.2706783681214421,0.10346623563218381,0.09128709291752768,0.28558305485937063,0.18707230187681295
neutrals,he,CN,160,-0.08020366572998151,-0.2423681220095694,0.08006608792935979,-0.0625,-0.2,0.08396946564885496,0.07905694150420949,0.1612171049694646,0.14198473282442747
neutrals,de,US,206,0.10811217890396776,-0.034914546514966435,0.2435294218298171,0.06796116504854369,-0.05992528976399944,0.19387755102040816,0.06967330142916177,0.13922198417239176,0.1269014203922038
neutrals,de,CN,328,-0.047456777972919494,-0.15089829280886818,0.058965304870645774,-0.024390243902439025,-0.1317422340070592,0.0862885299014533,0.05521576303742327,0.10493179883975698,0.10901538195425625
neutrals,pg,US,252,0.05410089762435647,-0.08670916489202309,0.19975440596134128,0.047619047619047616,-0.06776396717278352,0.16969677888786264,0.0629940788348712,0.1432317854266822,0.11873037303032308
neutrals,pg,CN,319,-0.044039347197657154,-0.1741629845844385,0.0788277888876445,-0.02821316614420063,-0.14187164825055668,0.08512596266805889,0.05598925109558543,0.1264953867360415,0.11349880545930778
neutrals,control,US,144,0.054741420859841905,-0.14552763787138787,0.22720911033410993,-0.027777777777777776,-0.18840579710144928,0.13476135710178258,0.08333333333333333,0.1863683741027489,0.16158357710161592
neutrals,control,CN,235,0.14326291478036332,0.00033080085969956167,0.29815376196229515,0.10638297872340426,-0.037037037037037035,0.26592103906813724,0.06523280730534423,0.1489114805512978,0.15147903805258714
