Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 25 Aug 2026 5:02:15 PM

Recipient,2020,2021,2022,2023,2024,2025,2020-2025,Percentage,Sum total years,Percentage of total
India,2670,3958,2701,1540,1603,2863,15336,8.6%,15336,8.6%
Ukraine,18,44,2967,4294,5341,2264,14927,8.4%,14927,8.4%
Saudi Arabia,2241,1747,3053,1326,1238,3042,12647,7.1%,12647,7.1%
Qatar,1082,2288,3336,2006,1194,1054,10960,6.1%,10960,6.1%
Pakistan,624,984,1529,2199,1068,706,7109,4.0%,7109,4.0%
Japan,929,1009,1466,852,1043,1715,7014,3.9%,7014,3.9%
Australia,1632,1218,809,376,1077,826,5937,3.3%,5937,3.3%
Poland,153,68,414,1391,1542,2169,5738,3.2%,5738,3.2%
Egypt,1398,1299,742,1152,128,697,5416,3.0%,5416,3.0%
United States,806,922,846,891,1053,745,5263,3.0%,5263,3.0%
United Arab Emirates,660,577,756,918,1086,868,4865,2.7%,4865,2.7%
Kuwait,67,1565,1569,497,388,311,4396,2.5%,4396,2.5%
South Korea,1273,812,423,218,1031,222,3979,2.2%,3979,2.2%
United Kingdom,635,886,859,469,486,609,3943,2.2%,3943,2.2%
Netherlands,575,512,725,374,333,824,3344,1.9%,3344,1.9%
Israel,379,458,833,863,237,537,3307,1.9%,3307,1.9%
China,775,685,646,428,71,207,2812,1.6%,2812,1.6%
Germany,105,235,269,203,240,1632,2685,1.5%,2685,1.5%
Norway,459,503,700,200,379,407,2648,1.5%,2648,1.5%
Indonesia,283,366,86,390,185,1277,2587,1.5%,2587,1.5%
Greece,92,231,441,404,631,574,2373,1.3%,2373,1.3%
Philippines,385,365,280,108,305,846,2289,1.3%,2289,1.3%
Italy,201,211,237,425,494,566,2135,1.2%,2135,1.2%
Turkiye,110,249,187,679,381,381,1988,1.1%,1988,1.1%
Brazil,134,240,469,193,450,462,1948,1.1%,1948,1.1%
Algeria,601,164,450,394,205,108,1923,1.1%,1923,1.1%
