Unnamed: 0,session.x,ccode1,ccode2,agree,year,IdealPointFP.x,NVotesFP.x,IdealPointFP.y,NVotesFP.y,IdealPointDistance
1454351,70,2,20,0.868421052631579,2015,2.447947,78.0,1.739521,78.0,0.708426
1454352,70,2,31,0.395348837209302,2015,2.447947,78.0,-0.3532824,69.0,2.8012294
1454353,70,2,40,0.274193548387097,2015,2.447947,78.0,-1.706511,78.0,4.154458
1454354,70,2,41,0.388888888888889,2015,2.447947,78.0,-0.2487147,25.0,2.6966617
1454355,70,2,42,0.352631578947368,2015,2.447947,78.0,-0.6423782,78.0,3.0903252
1454356,70,2,51,0.376344086021505,2015,2.447947,78.0,-0.4593108,77.0,2.9072578
1454357,70,2,52,0.35,2015,2.447947,78.0,-0.5376814,75.0,2.9856284
1454358,70,2,53,0.406976744186047,2015,2.447947,78.0,-0.3922034,70.0,2.8401504
1454359,70,2,54,0.461538461538462,2015,2.447947,78.0,-0.3579225,50.0,2.8058695
1454360,70,2,55,0.357954545454545,2015,2.447947,78.0,-0.4956099,73.0,2.9435569
1454361,70,2,56,0.361111111111111,2015,2.447947,78.0,-0.6112601,75.0,3.0592071
1454362,70,2,57,0.344444444444444,2015,2.447947,78.0,-0.592614,74.0,3.040561
1454363,70,2,58,0.39375,2015,2.447947,78.0,-0.4735255,64.0,2.9214725
1454364,70,2,60,0.398809523809524,2015,2.447947,78.0,-0.4959219,68.0,2.9438689
1454365,70,2,70,0.389473684210526,2015,2.447947,78.0,-0.1570235,78.0,2.6049705
1454366,70,2,80,0.369318181818182,2015,2.447947,78.0,-0.4073391,73.0,2.8552861
1454367,70,2,90,0.4,2015,2.447947,78.0,-0.2124249,78.0,2.6603719
1454368,70,2,91,0.419354838709677,2015,2.447947,78.0,-0.04866152,77.0,2.49660852
1454369,70,2,92,0.353932584269663,2015,2.447947,78.0,-0.4749602,73.0,2.9229072
1454370,70,2,93,0.268817204301075,2015,2.447947,78.0,-1.504231,78.0,3.952178
1454371,70,2,94,0.394736842105263,2015,2.447947,78.0,-0.2201355,78.0,2.6680825
1454372,70,2,95,0.431578947368421,2015,2.447947,78.0,0.03165944,78.0,2.41628756
1454373,70,2,100,0.394736842105263,2015,2.447947,78.0,-0.1267715,78.0,2.5747185
1454374,70,2,101,0.278947368421053,2015,2.447947,78.0,-1.573647,78.0,4.021594
1454375,70,2,110,0.344086021505376,2015,2.447947,78.0,-0.6146719,77.0,3.0626189
1454376,70,2,115,0.381944444444444,2015,2.447947,78.0,-0.6365127,57.0,3.0844597
1454377,70,2,130,0.315789473684211,2015,2.447947,78.0,-1.022668,78.0,3.470615
1454378,70,2,135,0.388297872340426,2015,2.447947,78.0,-0.1800363,77.0,2.6279833
1454379,70,2,140,0.368421052631579,2015,2.447947,78.0,-0.5306147,78.0,2.9785617
1454380,70,2,145,0.294736842105263,2015,2.447947,78.0,-1.313893,78.0,3.76184
1454381,70,2,150,0.456989247311828,2015,2.447947,78.0,-0.0005490411,76.0,2.4484960411
1454382,70,2,155,0.378947368421053,2015,2.447947,78.0,-0.3287561,78.0,2.7767031
1454383,70,2,160,0.394736842105263,2015,2.447947,78.0,-0.1705056,78.0,2.6184526
1454384,70,2,165,0.373684210526316,2015,2.447947,78.0,-0.4523989,78.0,2.9003459
1454385,70,2,200,0.721052631578947,2015,2.447947,78.0,1.618814,78.0,0.829133
1454386,70,2,205,0.573684210526316,2015,2.447947,78.0,0.6715229,78.0,1.7764241
1454387,70,2,210,0.652631578947368,2015,2.447947,78.0,1.044643,78.0,1.403304
1454388,70,2,211,0.654255319148936,2015,2.447947,78.0,1.028954,77.0,1.418993
1454389,70,2,212,0.647368421052632,2015,2.447947,78.0,0.9622844,78.0,1.4856626
