Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 25 Aug 2026 5:02:56 PM

Recipient,2020,2021,2022,2023,2024,2025,2020-2025,Percentage,Sum total years,Percentage of total
Saudi Arabia,1859,1335,2006,943,826,2860,9829,13%,9829,13%
Japan,925,998,1402,825,962,1567,6679,9.0%,6679,9.0%
Ukraine,5,20,879,1834,2778,582,6098,8.2%,6098,8.2%
Qatar,572,1308,1312,913,582,670,5357,7.2%,5357,7.2%
Australia,1124,943,789,316,962,633,4766,6.4%,4766,6.4%
South Korea,930,728,423,158,999,211,3448,4.6%,3448,4.6%
United Kingdom,598,868,768,356,310,519,3419,4.6%,3419,4.6%
Netherlands,573,505,708,356,282,606,3031,4.1%,3031,4.1%
Kuwait,,1263,1310,74,12,38,2697,3.6%,2697,3.6%
Poland,70,31,171,638,646,968,2523,3.4%,2523,3.4%
Norway,340,464,692,185,334,365,2380,3.2%,2380,3.2%
Israel,346,425,430,459,186,490,2336,3.1%,2336,3.1%
United Arab Emirates,245,326,376,408,312,351,2017,2.7%,2017,2.7%
Italy,200,204,214,408,454,524,2003,2.7%,2003,2.7%
Bahrain,,180,244,294,850,30,1597,2.1%,1597,2.1%
India,416,316,234,75,65,313,1419,1.9%,1419,1.9%
Taiwan,111,152,162,196,344,386,1352,1.8%,1352,1.8%
Denmark,3,220,134,232,402,230,1220,1.6%,1220,1.6%
Germany,65,114,197,153,203,283,1015,1.4%,1015,1.4%
Morocco,7,6,349,324,,266,952,1.3%,952,1.3%
Romania,95,59,168,292,113,40,768,1.0%,768,1.0%
Belgium,5,,,12,423,304,744,1.0%,744,1.0%
New Zealand,3,5,130,391,200,,729,1.0%,729,1.0%
Sweden,,110,318,65,55,87,634,0.9%,634,0.9%
Slovakia,22,,,,176,429,626,0.8%,626,0.8%
Singapore,5,139,336,63,4,8,554,0.7%,554,0.7%
Spain,30,30,71,146,132,54,462,0.6%,462,0.6%
Indonesia,91,132,11,121,83,14,452,0.6%,452,0.6%
Greece,1,7,124,54,166,46,397,0.5%,397,0.5%
Egypt,134,47,42,76,28,28,355,0.5%,355,0.5%
