ref_area,indicator,counterpart,year,value
1C_080,TMG_CIF_USD,CN,2015,159618.55918
1C_080,TMG_CIF_USD,CN,2016,145537.543838
1C_080,TMG_CIF_USD,CN,2017,188440.50509
1C_080,TMG_CIF_USD,CN,2018,185504.754215
1C_080,TMG_CIF_USD,CN,2019,200355.208865
1C_080,TMG_CIF_USD,CN,2020,191885.4679614
1C_080,TMG_CIF_USD,CN,2021,233610.173251
1C_080,TMG_CIF_USD,CN,2022,283778.976464887
1C_080,TMG_CIF_USD,CN,2023,352432.111781653
1C_080,TMG_CIF_USD,CN,2024,391618.268820214
1C_080,TMG_CIF_USD,US,2015,97590.737925
1C_080,TMG_CIF_USD,US,2016,87952.082466
1C_080,TMG_CIF_USD,US,2017,85930.629614
1C_080,TMG_CIF_USD,US,2018,87223.903356
1C_080,TMG_CIF_USD,US,2019,82070.380338
1C_080,TMG_CIF_USD,US,2020,69218.0788887
1C_080,TMG_CIF_USD,US,2021,74650.620451
1C_080,TMG_CIF_USD,US,2022,74808.7372462074
1C_080,TMG_CIF_USD,US,2023,86425.4667742599
1C_080,TMG_CIF_USD,US,2024,90820.6196726097
1C_080,TMG_CIF_USD,W00,2015,1037703.987333
1C_080,TMG_CIF_USD,W00,2016,936697.562052
1C_080,TMG_CIF_USD,W00,2017,1034394.92774
1C_080,TMG_CIF_USD,W00,2018,1040383.850668
1C_080,TMG_CIF_USD,W00,2019,1063340.415543
1C_080,TMG_CIF_USD,W00,2020,962463.5471888
1C_080,TMG_CIF_USD,W00,2021,1158039.348087
1C_080,TMG_CIF_USD,W00,2022,1272961.81141589
1C_080,TMG_CIF_USD,W00,2023,1422798.34642714
1C_080,TMG_CIF_USD,W00,2024,1557723.55409304
1C_080,TXG_FOB_USD,CN,2015,165648.651119
1C_080,TXG_FOB_USD,CN,2016,132722.034105
1C_080,TXG_FOB_USD,CN,2017,178532.988241
1C_080,TXG_FOB_USD,CN,2018,236440.489854688
1C_080,TXG_FOB_USD,CN,2019,227777.016637
1C_080,TXG_FOB_USD,CN,2020,170671.206018
1C_080,TXG_FOB_USD,CN,2021,245644.290503
1C_080,TXG_FOB_USD,CN,2022,339821.397295735
1C_080,TXG_FOB_USD,CN,2023,325049.477604718
1C_080,TXG_FOB_USD,CN,2024,317350.483248071
1C_080,TXG_FOB_USD,US,2015,74975.147603
1C_080,TXG_FOB_USD,US,2016,65991.380756
1C_080,TXG_FOB_USD,US,2017,75272.65877
1C_080,TXG_FOB_USD,US,2018,86914.077532
1C_080,TXG_FOB_USD,US,2019,59213.053707
1C_080,TXG_FOB_USD,US,2020,38528.195777
1C_080,TXG_FOB_USD,US,2021,64250.839713
1C_080,TXG_FOB_USD,US,2022,79042.8450636285
1C_080,TXG_FOB_USD,US,2023,61982.5890243524
1C_080,TXG_FOB_USD,US,2024,66574.1875162256
1C_080,TXG_FOB_USD,W00,2015,1367067.674418
1C_080,TXG_FOB_USD,W00,2016,1145883.849374
1C_080,TXG_FOB_USD,W00,2017,1375394.778771
1C_080,TXG_FOB_USD,W00,2018,1706172.86100569
1C_080,TXG_FOB_USD,W00,2019,1521652.587732
1C_080,TXG_FOB_USD,W00,2020,1106740.64509
1C_080,TXG_FOB_USD,W00,2021,1651703.048547
1C_080,TXG_FOB_USD,W00,2022,2278522.15814565
1C_080,TXG_FOB_USD,W00,2023,1906086.76418857
1C_080,TXG_FOB_USD,W00,2024,1902188.11490684
1C_092,TMG_CIF_USD,CN,2015,566142.195792
1C_092,TMG_CIF_USD,CN,2016,561868.938299
1C_092,TMG_CIF_USD,CN,2017,627351.842921
1C_092,TMG_CIF_USD,CN,2018,706537.847164
1C_092,TMG_CIF_USD,CN,2019,720967.873329
1C_092,TMG_CIF_USD,CN,2020,687650.6982
1C_092,TMG_CIF_USD,CN,2021,938858.349854
1C_092,TMG_CIF_USD,CN,2022,1063245.476849
1C_092,TMG_CIF_USD,CN,2023,1019587.911038
1C_092,TMG_CIF_USD,CN,2024,1151033.810241
1C_092,TMG_CIF_USD,US,2015,582445.342231
1C_092,TMG_CIF_USD,US,2016,549984.908724
1C_092,TMG_CIF_USD,US,2017,613263.257791
1C_092,TMG_CIF_USD,US,2018,669665.564666
1C_092,TMG_CIF_USD,US,2019,628329.969374
1C_092,TMG_CIF_USD,US,2020,553846.232206
1C_092,TMG_CIF_USD,US,2021,737658.623209
1C_092,TMG_CIF_USD,US,2022,854880.320687
1C_092,TMG_CIF_USD,US,2023,794450.78393
1C_092,TMG_CIF_USD,US,2024,812092.766455
1C_092,TMG_CIF_USD,W00,2015,5134232.248962
1C_092,TMG_CIF_USD,W00,2016,4970131.386963
1C_092,TMG_CIF_USD,W00,2017,5708142.66522
1C_092,TMG_CIF_USD,W00,2018,6440307.696067
1C_092,TMG_CIF_USD,W00,2019,6264140.696717
1C_092,TMG_CIF_USD,W00,2020,5770485.541998
1C_092,TMG_CIF_USD,W00,2021,7616995.220601
1C_092,TMG_CIF_USD,W00,2022,8577127.927404
1C_092,TMG_CIF_USD,W00,2023,8106832.447431
1C_092,TMG_CIF_USD,W00,2024,8423218.92475
1C_092,TXG_FOB_USD,CN,2015,213682.761352
1C_092,TXG_FOB_USD,CN,2016,217058.37314
1C_092,TXG_FOB_USD,CN,2017,281080.162052
1C_092,TXG_FOB_USD,CN,2018,336155.661449
1C_092,TXG_FOB_USD,CN,2019,341505.96015
1C_092,TXG_FOB_USD,CN,2020,370704.390576
1C_092,TXG_FOB_USD,CN,2021,484315.183155
1C_092,TXG_FOB_USD,CN,2022,496815.618415
1C_092,TXG_FOB_USD,CN,2023,504044.266677
1C_092,TXG_FOB_USD,CN,2024,501810.876641
1C_092,TXG_FOB_USD,US,2015,978846.210055
1C_092,TXG_FOB_USD,US,2016,959458.555452
1C_092,TXG_FOB_USD,US,2017,1054446.487749
1C_092,TXG_FOB_USD,US,2018,1158776.71064
1C_092,TXG_FOB_USD,US,2019,1130375.404116
1C_092,TXG_FOB_USD,US,2020,1137511.082843
1C_092,TXG_FOB_USD,US,2021,1438489.108766
1C_092,TXG_FOB_USD,US,2022,1572796.552231
1C_092,TXG_FOB_USD,US,2023,1481835.561299
1C_092,TXG_FOB_USD,US,2024,1586226.051503
1C_092,TXG_FOB_USD,W00,2015,5214843.927645
1C_092,TXG_FOB_USD,W00,2016,5055062.517756
1C_092,TXG_FOB_USD,W00,2017,5571915.811896
1C_092,TXG_FOB_USD,W00,2018,6065974.928524
1C_092,TXG_FOB_USD,W00,2019,6072898.109268
1C_092,TXG_FOB_USD,W00,2020,5988624.134403
1C_092,TXG_FOB_USD,W00,2021,7695052.531875
1C_092,TXG_FOB_USD,W00,2022,8498179.953178
1C_092,TXG_FOB_USD,W00,2023,8137413.864348
1C_092,TXG_FOB_USD,W00,2024,8529048.957365
1C_440,TMG_CIF_USD,CN,2015,120958.637294
1C_440,TMG_CIF_USD,CN,2016,113178.557041
1C_440,TMG_CIF_USD,CN,2017,149050.406176
1C_440,TMG_CIF_USD,CN,2018,142009.017876
1C_440,TMG_CIF_USD,CN,2019,153369.515636
1C_440,TMG_CIF_USD,CN,2020,146547.1421384
1C_440,TMG_CIF_USD,CN,2021,182276.045786
1C_440,TMG_CIF_USD,CN,2022,214940.723074
1C_440,TMG_CIF_USD,CN,2023,228669.790328
1C_440,TMG_CIF_USD,CN,2024,256870.01022
1C_440,TMG_CIF_USD,US,2015,70457.561886
1C_440,TMG_CIF_USD,US,2016,66862.41244
1C_440,TMG_CIF_USD,US,2017,67340.532842
1C_440,TMG_CIF_USD,US,2018,68187.917833
1C_440,TMG_CIF_USD,US,2019,64892.652817
1C_440,TMG_CIF_USD,US,2020,54053.2592787
1C_440,TMG_CIF_USD,US,2021,59106.711992
1C_440,TMG_CIF_USD,US,2022,69736.52264
1C_440,TMG_CIF_USD,US,2023,76927.387329
1C_440,TMG_CIF_USD,US,2024,81520.054554
1C_440,TMG_CIF_USD,W00,2015,880628.95086
1C_440,TMG_CIF_USD,W00,2016,812543.340666
1C_440,TMG_CIF_USD,W00,2017,906820.28984
1C_440,TMG_CIF_USD,W00,2018,918308.369734
1C_440,TMG_CIF_USD,W00,2019,915212.449423
1C_440,TMG_CIF_USD,W00,2020,817545.7874178
1C_440,TMG_CIF_USD,W00,2021,1000829.3949
1C_440,TMG_CIF_USD,W00,2022,1173185.013325
1C_440,TMG_CIF_USD,W00,2023,1230799.698734
1C_440,TMG_CIF_USD,W00,2024,1360591.866301
1C_440,TXG_FOB_USD,CN,2015,99293.941784
1C_440,TXG_FOB_USD,CN,2016,73377.210877
1C_440,TXG_FOB_USD,CN,2017,95379.338198
1C_440,TXG_FOB_USD,CN,2018,123611.769961688
1C_440,TXG_FOB_USD,CN,2019,119238.199554
1C_440,TXG_FOB_USD,CN,2020,86666.18652
1C_440,TXG_FOB_USD,CN,2021,136606.877622
1C_440,TXG_FOB_USD,CN,2022,185473.125376
1C_440,TXG_FOB_USD,CN,2023,157881.041352
1C_440,TXG_FOB_USD,CN,2024,148410.384881
1C_440,TXG_FOB_USD,US,2015,42409.114239
1C_440,TXG_FOB_USD,US,2016,41157.999456
1C_440,TXG_FOB_USD,US,2017,46957.332767
1C_440,TXG_FOB_USD,US,2018,58712.061903
1C_440,TXG_FOB_USD,US,2019,40080.533434
1C_440,TXG_FOB_USD,US,2020,27092.222942
1C_440,TXG_FOB_USD,US,2021,44874.904865
1C_440,TXG_FOB_USD,US,2022,62987.741771
1C_440,TXG_FOB_USD,US,2023,50057.854031
1C_440,TXG_FOB_USD,US,2024,48584.604325
1C_440,TXG_FOB_USD,W00,2015,862274.410166
1C_440,TXG_FOB_USD,W00,2016,751901.292515
1C_440,TXG_FOB_USD,W00,2017,883825.135683
1C_440,TXG_FOB_USD,W00,2018,1082443.55560369
1C_440,TXG_FOB_USD,W00,2019,965052.75799
1C_440,TXG_FOB_USD,W00,2020,711711.879736
1C_440,TXG_FOB_USD,W00,2021,1076679.160309
1C_440,TXG_FOB_USD,W00,2022,1493515.883157
1C_440,TXG_FOB_USD,W00,2023,1289515.150433
1C_440,TXG_FOB_USD,W00,2024,1214760.298958
