Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 25 Aug 2026 5:03:00 PM

Recipient,2020,2021,2022,2023,2024,2025,2020-2025,Percentage,Sum total years,Percentage of total
Pakistan,407,911,1322,1807,726,445,5618,61%,5618,61%
Serbia,7,,157,278,75,75,592,6.4%,592,6.4%
Thailand,6,29,177,195,,,407,4.4%,407,4.4%
Algeria,3,,138,186,30,,357,3.9%,357,3.9%
Bangladesh,27,2,228,14,40,,311,3.4%,311,3.4%
Myanmar,4,56,102,4,90,46,301,3.3%,301,3.3%
Nigeria,48,90,35,25,3,,201,2.2%,201,2.2%
Azerbaijan,,,,,,130,130,1.4%,130,1.4%
Mauritania,,,,2,124,,126,1.4%,126,1.4%
Saudi Arabia,40,65,20,,,,125,1.4%,125,1.4%
Cambodia,,29,38,56,,,122,1.3%,122,1.3%
Malaysia,,55,28,,,,83,0.9%,83,0.9%
Uzbekistan,,,,,47,32,79,0.9%,79,0.9%
Tajikistan,,,,,,75,75,0.8%,75,0.8%
Ethiopia,25,6,43,,,,74,0.8%,74,0.8%
Burkina Faso,,,,,31,34,65,0.7%,65,0.7%
Namibia,,,,,54,0 ,54,0.6%,54,0.6%
Mali,,2,,17,,32,51,0.6%,51,0.6%
Angola,42,,,,,,42,0.5%,42,0.5%
Rwanda,,,,37,,,37,0.4%,37,0.4%
DR Congo,,,,12,24,,36,0.4%,36,0.4%
Venezuela,,,,30,,,30,0.3%,30,0.3%
Chad,,25,,,,4,29,0.3%,29,0.3%
Tanzania,,29,,,,,29,0.3%,29,0.3%
Djibouti,,24,,,,,24,0.3%,24,0.3%
Indonesia,17,2,,,5,,24,0.3%,24,0.3%
Cote d'Ivoire,,,6,17,,,23,0.2%,23,0.2%
Jordan,,,,11,11,,22,0.2%,22,0.2%
Zimbabwe,,,,20,,,20,0.2%,20,0.2%
Russia,,5,5,6,,5,20,0.2%,20,0.2%
United Arab Emirates,19,,,,,,19,0.2%,19,0.2%
Malawi,,,16,,,,16,0.2%,16,0.2%
Equatorial Guinea,,0 ,,,12,,12,0.1%,12,0.1%
Morocco,,2,6,4,,,12,0.1%,12,0.1%
African Union**,,3,,6,,,10,0.1%,10,0.1%
Senegal,,,,7,1,,9,0.1%,9,0.1%
Congo,,,,,9,,9,0.1%,9,0.1%
Iraq,,,,,8,,8,0.1%,8,0.1%
Gabon,,2,,,5,,8,0.1%,8,0.1%
Sri Lanka,,,,5,,,5,0.1%,5,0.1%
Benin,,,3,,0 ,,4,0.0%,4,0.0%
Laos,,,,3,,,3,0.0%,3,0.0%
Australia,,2,,,,,2,0.0%,2,0.0%
Ghana,,,,2,,,2,0.0%,2,0.0%
Kazakhstan,,,,,,2,2,0.0%,2,0.0%
Zambia,2,,,,,,2,0.0%,2,0.0%
Guinea,,1,,,,,1,0.0%,1,0.0%
Uganda,,1,,,,,1,0.0%,1,0.0%
Central African Republic,,1,,,,,1,0.0%,1,0.0%
Belarus,,,,,,0 ,0 ,0.0%,0 ,0.0%
Nepal,,0 ,,,,,0 ,0.0%,0 ,0.0%
Total imports from China,645,1342,2323,2745,1294,880,9230,100%,9230,

