bloc,lang,mode,n_models,rate,lo,hi
all,en,he,24,3.0815972222222223,2.018229166666667,4.4053819444444455
all,en,de,24,14.541293993600931,11.871324398269344,17.3226169808201
all,en,pg,24,23.632812499999996,19.986979166666664,27.60470920138889
all,en,control,24,20.272278577661428,16.6475671720477,24.0958801626462
all,de,he,24,2.7560763888888884,1.6927083333333333,4.036458333333334
all,de,de,24,13.129340277777777,10.677083333333336,15.755208333333334
all,de,pg,24,22.707606166375797,18.967013888888893,26.692932732511633
all,de,control,24,18.762384562245494,15.496128015350877,22.206660699831215
all,fr,he,24,3.7543402777777777,2.408854166666666,5.338541666666666
all,fr,de,24,14.47482638888889,11.935221354166666,17.1875
all,fr,pg,24,25.868055555555554,22.092013888888886,29.92621527777778
all,fr,control,24,18.78442681064572,15.516234570426121,22.27180591913904
all,es,he,24,3.255208333333333,1.9097222222222223,4.882812499999999
all,es,de,24,14.04079861111111,11.393229166666668,16.818576388888886
all,es,pg,24,24.399860020360677,20.69622624269006,28.294156615497073
all,es,control,24,18.473222076788833,15.104166666666668,21.959454571759263
all,zh,he,24,3.8194444444444446,2.5390624999999996,5.381944444444444
all,zh,de,24,14.371091477603256,11.619340506213453,17.23090277777778
all,zh,pg,24,24.57608438772542,20.919843477312387,28.419262345263142
all,zh,control,24,17.664930555555557,14.518229166666668,20.985243055555554
all,pt,he,24,2.734375,1.5842013888888888,4.275173611111111
all,pt,de,24,13.871277814136123,11.13242987024854,16.73700586732839
all,pt,pg,24,23.077097876672482,19.53105582967836,26.91534302261663
all,pt,control,24,17.491319444444446,14.105360243055557,21.028645833333336
all,hi,he,24,5.208333333333334,3.797743055555556,6.857638888888891
all,hi,de,24,17.843427319662595,14.778421930114638,21.09375
all,hi,pg,24,26.929139254385966,23.285246577770504,30.871104452408073
all,hi,control,24,20.134956446526438,16.832781967076624,23.574844431342978
all,sw,he,24,9.65814063408959,8.355034722222223,11.24135637089151
all,sw,de,24,19.41319898923793,16.943373383841823,21.975667893282505
all,sw,pg,24,26.62600511695906,23.530429911775684,29.971591336644305
all,sw,control,24,21.17493316761581,18.454546354262348,23.9696535359898
US,en,he,12,2.690972222222222,1.6927083333333333,3.993055555555556
US,en,de,12,11.981893542757415,9.682006122076023,14.539993046465971
US,en,pg,12,21.657986111111114,18.40277777777778,25.17361111111111
US,en,control,12,20.101848821989527,16.536458333333336,23.871527777777775
US,de,he,12,2.9079861111111116,1.8663194444444444,4.210069444444445
US,de,de,12,13.020833333333332,10.546875,15.668402777777777
US,de,pg,12,23.236392888307154,19.57465277777778,27.161995157163737
US,de,control,12,21.20532468004654,17.7623075570416,24.84358854023146
US,fr,he,12,3.298611111111111,2.083333333333333,4.774305555555555
US,fr,de,12,10.9375,8.680555555555557,13.281249999999996
US,fr,pg,12,23.48090277777777,20.052083333333336,27.084418402777764
US,fr,control,12,18.720004363001745,15.3640350877193,22.22261421066026
US,es,he,12,3.515624999999999,2.213541666666667,5.121527777777777
US,es,de,12,13.715277777777777,11.111111111111112,16.363932291666654
US,es,pg,12,26.100067262943572,22.482216282894736,29.991319444444443
US,es,control,12,20.409985820244327,16.892758780541012,24.073721267868745
US,zh,he,12,2.864583333333333,1.8229166666666667,4.210069444444444
US,zh,de,12,10.816835732984293,8.42013888888889,13.396020251728856
US,zh,pg,12,21.808418775450843,18.481865317197883,25.45434931686704
US,zh,control,12,15.798611111111112,12.847222222222221,18.881293402777764
US,pt,he,12,3.0381944444444446,1.909722222222222,4.513888888888889
