mode,bloc,lang_row,lang_col,direction,direction_lo,direction_hi,direction_p,delta_pp,delta_lo,delta_hi,delta_p,n_models_defined
pg,all,en,de,0.052805672486967194,-0.050182196103457,0.15586149367816945,0.2772,0.9096404159394996,-0.6352564897486754,2.4913683009744028,0.2184,24
pg,US,en,de,-0.09304755783083955,-0.2332830468739529,0.0496533117085234,0.1996,-1.6095386125654447,-3.4388820358187133,0.3006380890052347,0.0932,12
pg,CN,en,de,0.19865890280477394,0.09245532284306979,0.30883901887349147,0.0004,3.428819444444444,1.6059027777777766,5.381944444444445,0.0,12
pg,all,en,fr,-0.0829537412986379,-0.17474723436559314,0.007163859136364632,0.072,-2.2352430555555567,-3.7760416666666665,-0.7378472222222223,0.0028,24
pg,US,en,fr,-0.066413612879251,-0.19262236821470147,0.0523616631207076,0.2876,-1.8229166666666672,-3.385416666666665,-0.21701388888888928,0.018,12
pg,CN,en,fr,-0.0994938697180248,-0.2046574950339667,0.006419307199748662,0.0732,-2.6475694444444446,-4.774305555555556,-0.5642361111111109,0.0152,12
pg,all,en,es,0.0060307589617152255,-0.08784292948833763,0.1013122427223846,0.8792,-0.760798429319371,-2.367864863595599,0.933733083800245,0.3856,24
pg,US,en,es,-0.1582573794948925,-0.29587670895959145,-0.023047364140021852,0.0212,-4.429582969749854,-6.340219831660848,-2.517361111111112,0.0,12
pg,CN,en,es,0.17031889741832287,0.050000417540055596,0.2903723849181277,0.0044,2.9079861111111107,0.5642361111111109,5.338541666666666,0.0108,12
pg,all,en,zh,0.054091688022473196,-0.05503253143605605,0.15767778558216153,0.3192,-0.9370227966841187,-2.9343779361757902,1.1225819605665002,0.3704,24
pg,US,en,zh,0.14335546051687945,0.00741860929397265,0.26465365676265185,0.0368,-0.13793448225712562,-2.148311860380115,1.909722222222222,0.8936,12
pg,CN,en,zh,-0.03517208447193303,-0.1565913430080377,0.08530642209714921,0.5664,-1.7361111111111118,-4.341362847222218,0.9114583333333336,0.1952,12
pg,all,en,pt,0.04446418565721592,-0.0522180587877428,0.14243979934652634,0.3696,0.5619637143688186,-0.8950338084795324,2.0837294697971718,0.446,24
pg,US,en,pt,-0.049640887359994085,-0.20176002791612999,0.10236320529173598,0.5628,-1.4802392379290292,-3.0815972222222214,0.12252025786985027,0.07,12
pg,CN,en,pt,0.1385692586744259,0.0343810609578826,0.24260829104723497,0.0092,2.604166666666667,0.43402777777777735,4.817708333333334,0.016,12
pg,all,en,hi,-0.07119366733923893,-0.16304925213350374,0.017291233504693415,0.1184,-3.305692616959064,-5.043426890432099,-1.569286841770385,0.0,24
pg,US,en,hi,-0.18382567694895782,-0.32750168525782897,-0.06141390904311444,0.0024,-6.871801900584796,-9.027931164557883,-4.74093110380117,0.0,12
pg,CN,en,hi,0.041438342270480016,-0.05779431959432414,0.13751573921532223,0.3956,0.2604166666666655,-1.909722222222222,2.4305555555555562,0.8092,12
pg,all,en,sw,0.010579330465900075,-0.08701478129355274,0.11376823126276991,0.8032,-3.002558479532164,-5.147438781631761,-0.7647422934654502,0.0104,24
pg,US,en,sw,-0.2545305283212599,-0.3846436861394025,-0.10846539519241051,0.0004,-10.779422514619881,-13.04579982480581,-8.426933355148341,0.0,12
pg,CN,en,sw,0.2756891892530601,0.17000876270036933,0.3780811509211438,0.0,4.7743055555555545,2.083333333333333,7.638888888888888,0.0,12
pg,all,de,en,-0.052805672486967194,-0.15586149367816957,0.050182196103456984,0.2772,-0.9096404159394996,-2.4913683009744036,0.6352564897486714,0.2184,24
pg,US,de,en,0.09304755783083955,-0.049653311708523405,0.23328304687395277,0.1996,1.6095386125654447,-0.3006380890052347,3.4388820358187133,0.0932,12
