model,origin,mode,lang_max,lang_min,range_pp,range_pp_lo,range_pp_hi,range_logodds,range_logodds_lo,range_logodds_hi
gemini-3.1-flash-lite,US,he,sw,en,0.5208333333333333,0.0,1.5625,1.103820633775248,0.0,1.9616172782606718
gemini-3.1-flash-lite,US,de,fr,hi,1.5625,0.5208333333333333,3.6458333333333335,1.9616172782606718,1.103820633775248,2.7450914727825593
gemini-3.1-flash-lite,US,pg,en,zh,1.5625,1.0416666666666665,4.6875,0.8043307095205603,0.526868748606566,2.7450914727825593
gemini-3.1-flash-lite,US,control,zh,fr,2.604166666666667,1.0416666666666667,5.208333333333334,1.1252096011873753,0.6349969938448341,2.8756600343034737
gemma-4-31b,US,he,fr,en,1.0416666666666665,1.0416666666666665,3.6458333333333335,0.5983408525808094,0.526868748606566,2.596614272105506
gemma-4-31b,US,de,fr,hi,1.0416666666666667,1.0416666666666665,4.166666666666667,0.46259530285507244,0.4514474531877295,2.596614272105506
gemma-4-31b,US,pg,en,zh,2.0833333333333335,2.083333333333333,6.770833333333333,0.40758116651963094,0.38894812286888447,1.5534954710368432
gemma-4-31b,US,control,pt,zh,5.729166666666666,3.645833333333333,9.375,0.9639978519470227,0.655484706911678,1.895230877702331
gpt-5.6-luna,US,he,hi,de,1.5625,1.0416666666666665,4.179687499999811,0.8043307095205603,0.5983408525808094,2.7450914727825593
gpt-5.6-luna,US,de,hi,en,11.979166666666666,7.8125,17.1875,1.6442063351907448,1.1617851524164202,2.7363076094582217
gpt-5.6-luna,US,pg,hi,en,9.895833333333334,6.770833333333331,16.145833333333332,0.5572231378261228,0.3730055759439532,0.9289985272202035
gpt-5.6-luna,US,control,pt,zh,12.499999999999996,8.461496509598604,19.270833333333332,0.7686121637545995,0.512594832769803,1.206832918366631
gpt-5.6-sol,US,he,sw,de,2.604166666666667,1.0416666666666667,5.729166666666666,1.1252096011873753,0.6349969938448341,2.9923204653996547
gpt-5.6-sol,US,de,sw,en,9.459533158813265,6.331738110820245,14.6896815008726,0.9591126758393993,0.6969877372458672,1.6157044342442353
gpt-5.6-sol,US,pg,sw,de,13.020833333333332,9.895833333333332,19.791666666666664,0.6681362145866279,0.5177140528828907,1.0299202254672242
gpt-5.6-sol,US,control,hi,zh,8.333333333333334,5.729166666666666,15.104166666666666,0.4437786454623537,0.30285842307197197,0.8157646256399754
gpt-5.6-terra,US,he,fr,en,1.0416666666666667,0.0,3.125,0.8577966444854237,0.0,2.596614272105506
gpt-5.6-terra,US,de,sw,en,7.87249127399651,5.729166666666667,12.67543859649123,1.1887138603890448,0.9017229821607233,2.196840865882521
gpt-5.6-terra,US,pg,fr,de,9.895833333333334,7.291666666666666,16.145833333333332,0.6207070173824847,0.4494807373705674,1.0382766807122432
gpt-5.6-terra,US,control,hi,zh,8.333333333333334,5.729166666666666,14.583333333333332,0.5053381436253295,0.3554027143233187,0.9057736119422453
grok-4.3,US,he,sw,zh,8.854166666666668,4.6875,13.541666666666668,1.3807765565118872,0.8301549283458716,2.4050988304508656
grok-4.3,US,de,en,zh,25.0,18.229166666666664,32.29166666666667,1.149559210288157,0.8276195708646281,1.5313494754626638
grok-4.3,US,pg,en,zh,19.791666666666668,15.104166666666668,27.604166666666668,0.8137766284061302,0.6296918922601956,1.1616440955831977
grok-4.3,US,control,en,zh,16.666666666666668,14.062499999999996,24.479166666666668,0.8582717787551795,0.7233823371150049,1.3087542249918174
haiku-4.5,US,he,zh,pt,7.291666666666667,5.208333333333333,13.541666666666666,0.670920565145328,0.5098679527485346,1.324576817053489
haiku-4.5,US,de,zh,es,17.708333333333332,13.020833333333334,24.479166666666664,1.034815513339245,0.7905891894916914,1.472900717172369
haiku-4.5,US,pg,zh,sw,24.479166666666668,17.708333333333332,32.8125,1.0465905270461282,0.7459289574188144,1.4329216880405657
haiku-4.5,US,control,zh,sw,23.958333333333336,17.187500000000004,32.291666666666664,1.0646240328830605,0.7816589556006905,1.4611197213205418
inkling,US,he,es,en,4.166666666666666,3.124999999999999,8.333333333333334,0.9415452306880905,0.6206663390212754,2.2619371780285866
inkling,US,de,es,en,17.1875,13.541666666666666,24.479166666666664,1.0108459097551108,0.8121542940390749,1.4950031744325558
inkling,US,pg,es,en,25.0,19.791666666666668,31.770833333333336,1.098720245053835,0.8764912145046168,1.4276965539144117
inkling,US,control,pt,zh,15.625000000000004,10.9375,22.395833333333332,0.9042975617028138,0.6278288594356836,1.329806578934182
nemotron-3-ultra,US,he,sw,de,2.0833333333333335,1.0416666666666667,4.6875,0.976732400510322,0.5681078842839105,2.7450914727825593
nemotron-3-ultra,US,de,en,es,8.333333333333332,5.208333333333334,13.541666666666666,0.8374886336367389,0.5524316790456301,1.443065703153187
nemotron-3-ultra,US,pg,hi,zh,11.458333333333332,7.291666666666667,17.1875,0.7628585235297891,0.47788727225543126,1.1797916439331715
nemotron-3-ultra,US,control,sw,zh,13.020833333333332,7.812499999999997,19.791666666666664,0.8639002666167039,0.4968354683334564,1.359313272229023
nemotron-3.5-lightning,US,he,sw,en,77.08333333333333,71.35416666666666,83.33333333333334,6.083958155248639,5.656943218678778,7.513741817681663
nemotron-3.5-lightning,US,de,sw,fr,91.14583333333333,86.97916666666666,94.79166666666666,7.219383195979352,6.297064218003565,8.712151952623486
nemotron-3.5-lightning,US,pg,sw,fr,81.77083333333334,76.5625,87.5,4.872368490128903,4.372475497697082,6.0063127808490275
nemotron-3.5-lightning,US,control,sw,fr,86.97916666666667,82.29166666666666,91.66666666666666,5.659003103499092,4.915433876412633,6.979395050839589
nova-2-lite,US,he,sw,fr,44.791666666666664,38.020833333333336,52.083333333333336,4.167176943301619,3.5896876226871774,5.9739694648049015
nova-2-lite,US,de,sw,zh,38.02083333333333,31.25,45.83333333333333,2.441027661839677,2.0343602445767064,3.232233549590824
nova-2-lite,US,pg,sw,fr,39.58333333333333,32.291666666666664,47.91666666666667,2.0380487135402974,1.650226519121628,2.6188872176661677
